duygu;veri
;Çok iyi
;ürün eksik geldi. İçinden sadece makinesi cıktı. diger hicbir parcasını koymamıslar. REZALET
;Kesinlikle almayın derim berbat
;4.yılında genleşme tankı su damlatmaya başladı. Kontrol kartını da tankın altına koymuşlar. O da su alınca bozulmuş. Meslek icabı kartı kendim tamir ettim. Ama tank değişimi 700 TL. Önceki evimdeki kombim Buderus tu. Onun da 4.yılında esanjörü delinmişti. Bu ikisinden mercedes değil şahin bile olmaz.
;işini iyi yapıyor
;Hesaplı ve iyi bir ürün. Beğendik.çok güzel. Piyasa değeri daha yüksek.
;Kugerr makine ve Marmaris servis Batu Ticaret inanilmaz kotu.
;urun elime gecmedi
;Ürün çok iyi ancak arzadurumunda servis berbat müşteri hizmetleri 21 işgünü tamir süresi var dan başka hiç birbilgi vermiyor buda 1ay telefonsuz kalmak demek kesinlik le erken gelir diye düşünmeyin
;Biraz geç geldi ama sorunsuz
;Kesinlikle tercih etmeyin kokusu hiç yok denecek kadar az ve kullanım amacına bile uymuyor. Denediğim için pişmanım.
;hayır ilk ses deviyesi çok yüksek
;Başarılı bir ürün memnun kaldık
;Ürün göründügü gibi ve kaliteli. Fiyatı da uygun. Tavsiye ederım..
;Tefal her zamanki gibi harika bir iş çıkarmış. Tek seferde kırışıkları açıyor.
;Rowenta RO8341 Silence Force MultiCyclonic Elektrikli Süpürge iki yıl oldu alalı sessiz tasarım güzel fakat çekimi başlığı çıkardığımız da iyi ama başlıkla çekim çok kötü başlık lar tam bir fiyasko eşim aldığım a pişman etti eski Fakir marka süpürge çok daha iyi sinirlenince Fakir ile süpürüyor. Almayın.
;Ürün gayet özenli paketlenmisti tesekkurler...
;Ses kalitesi kötü boğuk bir ses geliyor 30 liraya değer :(
;ürünü aldıktan 1 gün sonra ürün 60 tl inidirme girdi.
;Rengi de kendisine mükemmel
;kulakligin birinden ses çok az gelmeye başladı Sony gibi marka ya yakışmıyor
;Cidden ses kalitesi iğrenç. alalı 2 gün oldu kulaklık bir tarafı çalışmıyor. (düşürme asıltma gibi zarar vermeden kullandım.)
;Harika daha iyisi yok bence
;Ürün teslim süresi gayet iyi
;Ürüün rengi göründüğü gibi değil. Daha açık geldi
;Buzdolabı üst  kapaginda elimde karıncalanma hissediyorum elektirik kaçağı  gibi
;evet ürünü begendim
;Ben 12 senedir kullanıyorum ve çok memnunum.tavsiye ederim.
;Ürün güzeldi
;Çok hızlı teslimat. Ürün vadettiğini yerine getiriyor. Teşekkürler.
;Ürün gayet şık ve güzel sitede yer alan görseli ile birebir fakat ürün koli içi kontrol edilmemiş ve kırık
;Bu fiyata inanılmaz kaliteli bir bulaşık makinesi ben çok memnunum.
;Evet harika sadece kargo kötü
;uygun fiyata aldım daha önce de kullandık bu  ürünü iş yerinde 5 yılın sonunda arıza verdi tavsiye ederim
;İndirimdeyken almıştık gayet kullanışlı güçlü bir ürün
;beğendim beğendim
;Çok kötü bir ürün aldığıma pişman oldum sakın ALMAYIN
;Seyahatlerde hayat kurtarıcı
;gayet güzel ama bı parçası kırık geldi yine de iade etmedim
;Arkadaşlar bir kez bile fayda sağlamadı. İlk kullanımda bıçak tepesini sıyırdı attı. İyi bir şey alın derim.
;" Minik Logitech unifying nano alıcısı olan güvenilir kablosuz kombinasyon.   açıklamasında yazdığı gibi alıcı unifiying değil. Unifying alıcı da klavyeyi tanımıyor. Onun dışında mouse küçük; klavtye tuşları ve hissiyatı güzel. Kısayol tüşları da güzel. Özetle küçük mouse+klavye beraber kullanılacaksa 5 yıldız. Ancak unifying desteğinin olmaması gerçekten üzücü!"
;Sorunsuz tam zamaninda geldi.fiyat kalite tatminkar
;Malzeme kalitesi iyi değil
;Olumlu yönleri: Çok iyi
;Fiyat performans olarak çok makul bir ürün. Buz da kirabiliyor bence bu önemli. Bir büyük bir de küçük boy haznesi var. Sabahları işe giderken küçük haznede smoothie yapıp yanımda götürebiliyorum. Sadece smoothie değil içine sıvı koyduğumuz durumlarda her malzeme için kullanılabilir.
;Kaliteli  iyi
;Ürün çok çabuk kaynatıyor. Görünüş itibarıyla iyi . sapı biraz kalitesiz gibi okadar. Bu fiyata güzel ürün. Hızlı teslimat için ayrıca teşekkürler hepsiburada.
;gayet güzel paketleme yapılmış ge kullanımı kolay. teşekkür ederiz
;güzel bir ürün.
;Çok geç kaynatıyor beğenmedim
;Bildiğiniz kopegin önüne kemik atar gibi attılar önüme??
;ÇOK GÜZEL TABİKİ ÇEKİŞ GÜCÜ KUVVETLİ DERİMİ TUTTUMU AYIRMAYA KUVVET UYGULUYORSUNUZ BİRAZ SESLİ BİLGİNİZE SESSİZ DEİL AMA KULLANIS OLARAK TASARIM YAPMISLAR TEKERLEKLERİ DAHİ OLSUN SADECE DEVAMLI VEYA 2 GÜNDE Bİ SUYUNU TEMİZLEMENİZ LAZIM YOKSA KOKUYOR AMA SÜPÜRÜKEN ARTIK ARKANDAN TOZ BIRAKMIYOR Bİ YERDEN TEMİZLERKEN EN ÖNEMLİSİDE BU ASLINDA BİDE MOBİLYALARA GİDEN TOZ DERDİ YOK YAZDIGIM GİBİ KULLANILABİLİR ÜRÜN... GÜLE GÜLE KULLANIN
;ses ayar düğmesi yok resimde kocaman gerçekte küçük ses az
;Görmedim. Bile çünkü gelmedi
;urunu begenmedim tavsiye etmiyorum.lambasi yok
;İndirimdeyken almıştım çeyizim için. Kullanmaya başladım çok memnun kaldım ağır olmadığı için kolu yormuyor ve ütülerken kayıp gidiyor kumaşın üzerinde. Ayrıca ucunun ince olması da çok rahat oluyor gömlek düğme araları falan rahatla ütüleniyor.  Kesinlikle tavsiye ediyorum almayı düşünenlere.
;Ürünle ilgili bi sıkıntı yok ama kargo aşırıııı yavaş o kısmını beğenmedim
;Arçelik ürünlerinden ailecek hep memnun kaldık ama çamaşır makinam berbat beyazlarım sapsarı oldu çamaşırları nasıl makinaya atıyorsak öyle çıkarıyoruz daha önceki makinanız 8 kiloluktu ve çok memnunduk defalarca servis gelmesine rağmen bir çizim bulunamadı
;Beş para etmez kesinlikle almayın hiç bir lekeyi çıkartmıyor deterjan bırakıyor beyazları bile morartti okadar yani hiç güzel değil kesinlikle almayın bin pisman oldum aldığıma
;Ürün üstü çökmüş halde geldi kırıktı yani paketleme berbat iade ettim yıllar oldu hala onaylanmadı
;çok güzel ve buyuk beğendim tam bir canavar
;Iki kere gönderdim geri bozuk çıktığı için şimdiye kadar hiç sorun yaşamamıştım alışverişlerim de bu ilk ve söndür umarım ilgilenirseniz sevinirim
;Olumlu yönleri: Telefonu anlatmaya gerek yok.Güzel bir telefon.Kullandığınız zaman hak vereceğinize eminim.Ayrıca bu fiyata alınabilecek en iyi telefon.Alın alın sağlıkla güzel günlerde kullanın.
;Guzel Urun
;arızalı ürün geldi
;Gayet iyi. İç kısmı çok kolay çıkıyor temizliği rahat
;ürün çok beğendim tavsiye ederim
;ürünü 2 gündür test ettim ürünün +ları gelen mesaj ve çagrıları gösterıyor su içme hatırlacısı  olması su geçirmemesi -leri spor esnası kalp hızını tansiyon deyerlerını yanlış okuması adım sayımı tamamen yanlış şarja takılıyken 400 adım saymış kullanımı biraz sıkıntılı spor için alınacaksa daha kaliteli ürünlere bakılabir
;Berbat ikinci kullanimda bozuldu
;çok güzel
;üzücü 1 ay gecmeden bozuldu
;Ürün hiçbirşeye yaramıyor gerçekten kendine hayrı yok ki odayı soğutsun hiç memnun kalmadım
;ürün arzılandığı takdırde parça bulnuumyo bunu düşünerek alın
;Fena değil kullanabilir
;Ürün kaliteli. Fiyat çok iyi. Kargo çok hızlı
;Olumsuz yönleri: Ürün çok kullanışlı değil beklediğimizin çok altında çıktı
;"Bu fiyata bunlar normal ama bilinmesi gerekenler; Ürün siyah denmişti değil  Lacivert renklerde  genede şık. Bir tek teredütüm saatin boya soyulma riski. Yazılımı kötü Türkçe'de karakterler bozuk. Şarj çabuk bitiyor. Diğer söylenen herşeyi çalışıyor arkadaşlar...Telefonunuza BT Notification yükleme için saatte bir QR kod çıkıyor taradığınızda sizi yönlendiriyor. Küçük bir fiyata akıllı saat merakını gidermek isteyenler için uygun bir ürün."
;basit bir kuruluma sahip sozde cihaz 2 saat ugrasmam ile anca wifi alanini genisletebildim kutudan cikan kilavuz hic alakasi yok alacak kisiler 1 kere daha düşünsün
;Ürünü beğendik. çok hızlı geldi paketleme güzeldi. Kullandi?ca gorecegiz kalitesini.ama ilk intiba olimlu.
;ürün çok kaliteli hiç anlatıldığı gibi değil vestel geliştirmiş
;Cok kullanıslı güzel tavsiye ederim
;Olumlu yönleri: Kaliteli ve kullanışlı ürün olduğu için aldım.
;Daha önce ıphone 5 kullanıyodum 7 yi aldım her konuda müthiş sakın düşünmeyin ne 6s nede 8 e gerek yok bu 7 di hem şarj ömrü oldun hem hız olsun ne bilim kamera filn aklınıza takılabilecek herşeyi tam anlamıyla karşılıyan bir cihaz kesinlikle pişman olmazsınız
;en sevdiğim yanı çok sessiz çalışması buna rağmen çekim gücü çok yüksek torbasız olması da bence çok pratik sürekli torba alma derdi yok biriken tozları çıkartıp boşaltmak yeterli. almayı düşünenler varsa tavsiye ederim.
;hayır begenmedim ayagı noksan olarak geldi
;Ürün elime ulaştı güzel ama çok fazla ses çıkarıyor yorumlarda bir iki kişi daha yazmıştı ama abartı sanmıştım haklılar bu kadar ses beklemiyordum
;Olumsuz yönleri: Fiş yerinde sorun var iade sifresini  rica ediyorum
;Üüne evet ama Şirket berbat.
;Kullanımı gayet güzel fakat çizilmelere karşı dayanıklı değil galiba. Havaalanı geçişinde kolumdan çıkarıp mont cebine koydum. Bir kaç bozuk para da vardı.metal kadran boyasında çizilme oldu. İlk koymada böyle olurs birkaç kezden sonra ne olur bilmem.
;Ürün ezik geldi biz tamir edip kullandık
;ürünü iade talebi yaptım çünkü bu kadar yüksek bir fiyata alınıpta ışık süzmesi sorunu + ölü piksel çıkması ve gsync açınca üründe ya ürünle alakalı yada benim pc ile alakalı olabilir sistemim 16gb ram 1060 6gb i7 7700hq işlemci var gsync açıkken anlık olarak csgo oynarken ekranda aniden çok hızlı bir şekilde beyaz bir kırılma oluyor ama çok hızlı ya ekran kartımla işlemci tam beslemiyor 240 hzde yada monitörde sorun var 144 hz alıpta test ettim ve csgo 200-240 fps arası gidiyor fakat gene aynı olay olduğundan iade talebimi başlattım.Ürünü 2.kere alışım ve bu kez neyle karşılaştım 4 adet ölü piksel artı sol üst çercevede ezilme ile karşılaştım tabikide bu amazzonun sorunu değil çünkü üretici firma asus yani test etmeden yolluyor yada ürünler cidden berbat kalitede 2 defa heves edip satın aldım sırf ips panel ve hz yüksek diye tercih ettim böyle 2 kere alınıpta ürün sürekli sorunlu gelecekse anlamı yok ve şunuda ekliyim ürünün kutusu yırttıktı garanti belgeside çıkmadı ama gene aynı ürünü alıcam ama sonra şimdi alsam gene sorunlu çıkıcak ürünü ona göre satın alın sizdee ölü piksel yada başka hatalar olabilir
;Kalitesi düşük fiyatla orantılı
;cok guzel urunnn
;Fiyata göre Harika bir ürün
;Çok iyi bir mağaza
;Mükemmel ürün ve iyi nakliye sistemi
;çok iyi ürün ?? kesinlikle tavsiye ederim
;En uygun fiyatlı ürün ama kargo elime ulaşmadan direk iade edildi.
;MİKSERİN TAM PERFORMANSINA BAKMADIM AMA MİKSERİN STANDA OTURDUĞU MONTE EDİLDİĞİ YER ÇOK ZAYIF MİKSERİ ELİNLE YUKARI ÇEKSEN RAHATÇA  ÇIKIYOR DÜĞMESİNE BASMAYA GEREK YOK. BİRDE HAZNEYİ ÇIKARMAK İÇİN MİKSERİN OTURDUĞU BOYUN KISMINI YUKARIYA KALDIRIYORSUNUZ ODA MİKSER TAM OTURMADIĞI İÇİN ARKAYA DOĞRU DÜŞECEK GİBİ DURUYOR HATTA DÜŞEBİLİR. BEKLENTİMİ KARŞILAMADI.MİKSERİN OTURDUĞU YERİ TEK TIRNAKLI DEĞİLDE İKİ TINALI YAPSALARDI BİRDE UÇ KISMA KOYARAK BU SORUNU ÇOK KOLAY BİR ŞEKİLDE HALLEDEBİLİRLERDİ AMA ÖNEMSEMEMİŞLER ANLAŞILAN.
;Soğuk yazanlari anlamiyorum. Kaynayana kadar zaten makine calisiyor sensörü sayesinde köpük olustugunda isitmayi durdurarak alarm caliyor. Orta seviyede bir köpük yapiyor. Kahveyi yapmasi 2 dk civari suruyor. 6 aydir kullaniyoruz hemen hemen her gün 1 kere taşmadi. 10 numara. Cezve plastik bence okay ama hosuna gitmeyen olabilir.
;Her Şey Resimlerde....
;2 aydan fazla oldu alalı hiç bir sorunla karşılaşmadım fiyatına göre çok iyi sorunsuz çalışıyor çamaşırları çok iyi temizliyor sadece kargoda sorun yaşadım hepsiburada.com teşekkürler
;çok kısa bi sürede hasarsız elimize ulaştı.çok memnunuz çalışmalarınızdan teşekkürler.daha önce de başka ürünler aldım hem piyasaya göre fiyatları çok uygun hem ürünler istediğim gibi hem de güvenilir bir hizmet...
;Çeyizim için aldım zaten bildiğim bir üründü çok şık ve kullanışlı internetten alırken tereddüt etmiştim ama kargo hızlı bir şekilde elime ulaştı vegelir gelmez denedim çalışıyor da ben memnun kaldım emeğinize sağlık
;Urun günler gecti hâlâ elime ulaşmadı
;Zaten hali hazırda simfer kullanıyorum ve çok da memnunum çeyiz için bu ürünü tercih ettim. Henüz kullanmadım ama eminim sorun yaşamayacam.beyaz rengi de şahane duruyor bence ??
;Olumsuz yönleri: O kadar suhar çıkartıyorki üstündeki dolabın kaplaması kabarmıy.
;Ürünün hem fiyatı uygun hem de görüldüğü gibi kaliteli bir ürün
;Ürün gayet kaliteli. Kullanışlı. 4 praogram rahat rahat yeter.
;Süper bir ürün kullanımı kolay ve motoru güçlü sesiz çalışıyor kesinlikle tavsiye ediyorum..
;oldukça başarılı bir ürün memnun kaldım.
;Almış olduğum ürün 4 ay oldu çekmemeye başladı servise gittim filitre dediler 4 ayda filitre nasıl dolar hiç almayın tavsiye etmem
;Hiç menmun değilim aldıgım davlunbaz ğördüğum gibi gelmedi
;Çok pişmanım iyi marka diye aldım çok sesli çalışıyor ve buz kırılma sesi var Cat çit diye gece uyumaya çalışırken çok rahatsız edici servisini çağırıyorum iki yıllık garantisi olduğu halde sorun yoksa servis ücret alırız diyorlar tavsiye etmem kesinlikle
;paket açılmıştı özenli degildi
;Aldıktan 12 gün sonra arızalandı şu anda tamirde
;sorunsuz guzel urun  tesekkurler
;Gövdesi tutmuyor. Süpürge ikiye ayrılıyor.
;10   güzel bir süpürge
;ürün kullanım çeşitliliği açısından çok iyi ancak hamur yoğurmada kafa sabit durmuyor.sanırım kısa sürede arıza verecek.aksesuar olarak cidden kullanışlı.kenwood kafa sabitleme işini çözememiş
;Kullanışlı bir ürün tavsiye ediyorum
;ürün hemen bozuldu bence bu markayı almayın derim
;Hepsi burada satıcısından Bakır rengini aldım ve hepsiexpressle 1 gün sonra gibi kısa bir süre içerisinde elime ulaştı sorunsuz çalıştı kullanımı kolay ve kahveyi dakikalar içerisinde çok kısa bir sürede köpüklü yapıyor.Ben beğendim kampanya içerisinde aldım alacaklara tavsiye ederim.
;Cok iyi tesekkur ederiz. Hizli kargo icinde
;gerçekten verilen paraya çok yazık hiç çalışmıyor almayın bence. Dışarıda salgın varken geri iade nasıl edilir ugrasabilir miyim bilmiyorum. bir öğrencinin harcligiyla bu mouse'u  alması ve karşılığının bu olması çok üzücü. kesinlikle almayın.
;Çok memnun kaldım iyi ki tefal almışım.  Maydanozda bile sorun çıkarmadan çalışıyor
;Mağaza Ürünün üzerindeki promosyon kuponlarını koparıp  göndermiş...
;Herseyiyle harika.hepsi burada güvenli alisverisiyle harika .tesekkurler
;5 gün olmadan bozuldu ve çok da yavaş şarj ediyordu. İade etmeye çalışacağım. Spigen kalitesine güvenip iki adet almıştım ancak maalesef bu sefer olmadı.
;Indirimde almıştım cok ama çok memnunum almayan herkes alsın ??
;Satılan ürünle paket farklı
;Ben lg43 um7450 modelini aldım kanal geçişleri 2019 madel bı TV için çok çok yavaş görüntü çok mat vestelle kiyasladigim zaman goruntu aynı eski TV im 82 ekran telefunken görüntüsü daha net parasina göre değil bence gidin Vestel alın paranizda cebinizde kalsin.ben böyle olduğunu bilsem Vestel alırdım
;Olumsuz yönleri: çok kullanışlı bir fritöz diyemem ben bunun için. Çünkü gerçekten yağ çekiyor bütün yiyecekler kızartma kızartmalıktan çıkıyor yani
;Telefon gayet güzel günlük kullanım ihtiyacını tam olarak karşılaşıyor
;Olumlu yönleri: çok iyi
;teşekkür ederim..
;Ya arkedeş adam gibi bi çaydanlık üretemezmisiniz  mendiz bey sen bu çaydanlıkı evinde kullandın mı heç valla biray sonam atarsın. Hey arçelik sana deyom duydun mu
;Fiyat performans dengesi yerinde. Çok memnumum
;Olumsuz yönleri: Ürün sitede tanıtıldığı gibi gelmedi elime geçtiği gibi idae ettim.
;Olumlu yönleri: tam istediğim gibi
;Yorumlarda vardı ama yinede almaya karar verdim.Ürün çok gürültülü çalışıyor.Hani sanki mutfakta bir traktör çalışıyor gibi bir durum söz konusu. Tavsiye etmem.
;Ürünün sesinde ve kalitesinde bir sıkıntı yok ancak Kablosu gerçekten kısa bu yorumu kafama göre yapmıyorum. 4-5 çeşit kulaklıkla kıyasladım. Kablo uzunluğu benim açımdan önemli bir konu. Özellikle uzun boylu arkadaşlar alırken bir kez daha düşünsün :)
;15 gündür ürün elinize ulaşmıyorsa nasıl değerlendireceksiniz.
;Ürün kaliteli fakat benim gibi ince telli saça sahip olanlar kullanmasın çünkü ilk başta şekil veriyor fakat 2 saate kadar saçınız malesef sönüyor wax tek başına yetmiyor..!
;Hiç güzel cihaz değil çok yavaş kendiğinden şarjı gidiyor aldıgıma şu an çok pişmanım
;10 numara 10 numara gayet guzel tasviye ederim
;Ürünün tasarimi şık ama en düşük ayarda bile sesi cok rahatsiz edici..kesinlikle onermiyorum..ayrica odayi falan da serinletmiyor..
;Güzel cok kullanışlı
;urun guzel ve cekim gucu iyi. ancak ses acayip
;harika!
;Ürün gayet güzel tavsiye ederim çekim gücü biraz az
;Bir arkadaşımın tavsiyesi üzerine aldım çok memnunum hiç düşünmeden alın fiyatida çok uygun 58 dk. da bile ağır kirli bulaşıkları sorunsuz pırıl pırıl yıkıyor teşekkürler Altus ve trendyola kargoda ve yetkili serviste de bir sorun olmadı herkese teşekkür ediyorum
;Olumlu yönleri: Param olsaydı keşke alsaydım.
;Fiyatına göre gayet uygun bir ürün.
;Hem pratik hemde çok uygun kesinlikle alınmalı
;bekar ve tek yaşayanlar için ideal buzdolabı. ofis tipi dolaplar yerine tercih edilebilir.
;Olumsuz yönleri: üretim hatası olsa gerekki hemen ilk kullanımda bozuluyor tavsiye etmem
;cok güzel ütülüyor
;hizli ve guzel bir cayci
;Arzum markasına güveniyorum ilk yorum olarak malzeme kalitesi ambalajlama çok güzel teşekkür ediyorum
;Okadar araştırdım aldığım yerle konuştum öve öve bitiremediler kek kurabiye poça denedim hepsinin altı pismedi üstü yandı berbat ötesi görünüşe aldanma hayal kırıklığına uğradım çokta kızdım fırını aldığım gibi yarın sahibine verecem eve asla koymam
;5 para etmez. 2019 un ilk ayında aldım. 30 seneden beri  Arçelik Beko Vestel hepsini kullandım. 2019 model makine deterjan lekesi bırakıyor. Dijital çağda yasamamiza rağmen bunlar 30 sene öncesinde kalmışlar. 1.700 Lira çöp maalesef. Aklı olan ismine bile bakmasın.
;Ürünü iki yıldır kullanıyorum ilk ürünü mağzadan almıştık şimdi ise Arkadaşımıza hediye etmek için bir tane daha sipariş verdim. Çok memnun kaldığımız ve kaliteli bir ürün. Tereddüretmeden alabilirsiniz.
;Arkadaşlar ürünün kendisi fena değil yani yeterli denilebilir kullandığınız zaman ama şöyle bir kandırmacası var ki ürünün boyutu resimde gösterildiği gibi değil resmen elinize alıp öyle dolaşabilirsiniz. Almak isteyen alabilir ama ürünün boyutu yüzünden hayal kırıklığı yaşayabilirsiniz performansı gayet yerinde uzun süre giderse fiyatını hak edeceğini düşünüyorum. 1 yıldızı da sırf bu kandırmaca yüzünden veriyorum.
;Çok sık çalışıyor ve sesi rahatsız edici bunun  dışında hacım büyük ve kullanışlı
;evet bikez kullandim dwneme iyi duruyo zamanla gorecegiz sorum yok gibi
;kaliteli ve çok sessiz bir ürün
;Olumsuz yönleri: Aynı gün kargo yazıp kargolamayan firma para iadesini 3 gün oldu yapmadi
;Kesinlikle tavsiye ederim.
;Alalı 9 ay oldu ve üç kere bozuldu her seferinde sol kulaklık bozuluyor bir süre sonra da iki kulaklık da bozuluyor garantiye gönderdiğimde de en fazla 1 ay dayanıyor sonra yine bozuluyor iade etmeyi düşünüyorum iade süresi hakkında bir bilginiz var mı acaba?
;Olumlu yönleri: Ürün cidden çok kullanışlı.3 yı önce aldığım süpürge hiç çekmiyor ve ısınıyor.Bu süpürge harika emil gücünü arttırabiliyorsunuz halıyı kaldırıyor okadar iyi emil gücü
;Ürün cok kalitesiz gercekten cok kalitesiz. Okula giderken cantama koydum serviste cikaridigimda o donen yeri kopmustu. Cantam yere dusmedi bir sey olmadi nasil koptu anlayamadim. Geri takamadim da. Cidden cok dandik. Ayrica kucuk baya kucuk hatta kulaginizi sıkmıyor ancak bence mini kategorisine girmeliydi. Almadan once yorumlari okudum malzeme kalitesi ile ilgili kimse bir sey dememis. Pismanim aldigima. Asla tavsiye etmiyorum
;Olumsuz yönleri: Ürün elime geldi ve 1kere kullandım ve altından su akıttığını gördüm direk geri yolladım
;Çok ürün araştırdım.Bu ürün Tek kelimeyle Harika ütü yapmak artık zevkli hale geldi. Teşekkürler Media market
;Olumlu yönleri: Samsung Galaxy j prime ailesini piyasaya sunarken bu kadar başarılı olabileceğini tahmin ediyor muydu acaba? Piyasada bulunan en iyi telefonlar bunlar sanırım ısınma derdi yok kasma derdi yok güvenlik açığı yok darbelere dayanıklı daha ne olabilir ki? Bu telefona verdiğim her kuruş helaldir. Sonuna kadar hak ediyor parasını öyle piyasada dolaşan yeni yetme şrketlerden değil herşeyden önce insanı kazıklamıyorlar
;Kahve soğuk çıkıyor. Almayın
;Hestia modeli alalı 1 yıl oldu dograyıcısı donmemeye basladı. Ve motor icinden bir parçayı kırdı. Kullanıcı hatası dediler. Ama ben nasıl donmemesini bozacagım. Paranızla rezil olursunuz. Ucuz etin yahnisi tez bozulur us.
;Buz gibi kahve yapıyor. Köpük desen hak getire. tavsiye etmiyorum kesinlikle.
;Gayet kullanışlı vede kaliteli fiyatı da cabası (yani uygun tavsiye ederiz.)
;evet beğendim tavsiye ederim
;next kalitesine guvenerek aldim. sd yayinlar kotu. hd tayinlar iyi. tv veya radyoda donma oluyor. 2/3 sn sonra açılıyor. tavsiye etmiyorum.
;çok güzel konuşuyor olması çok güzel bir özellik
;Hızlı mağaza teşekkür ederim
;"eğer bir temizlik ürünü alıyorsanız bu ürün eğer kendi kendine çalışıp temizlik yapmıyorsa size tavsiyem fazla para ödemeden bu ürünü rahatlıkla alabilirsiniz.Öyleki her cihaz gibi bu cihazda ses çıkaracak tozu suya hapsedecek ve elbetteki bir gün kullanım ömrü tükenecektir.Birde şu açıdanda değerlendirin;çok fonksiyonlu bir ürünün foksiyonlarını ne kadar kullanabileceksiniz.Çok detaylı bir temizlik yapmış olsanız bile kapı pencere açtığınızda yaptığınız temizlik boşa gidecek ve hava ile yine toz kapacaktır eviniz.Ben bu üründen hem fiyat hemde temizliği yönünden memnunum ve herkese tavsiye ederim.Paranızı boşa savurmayın derim."
;küçük ama etkisi büyük çok beğendim
;rengi bi tik soluk fakat ozenle paketlenmis bi sekilde geldi.
;Üründen az ses çıkmaktadır
;Oldukça güzel ve sağlam
;zamanında teslimat gerçekten çok hızlı
;Firin 10 dk çalışıyor ardından sürekli Termostat atıyor 20 sn çalışıyor 6 saniye atıyor bilginize alacak arkadaşlar.bu sürekli böyle tekrarliyor
;herkese merhabalar.urunu bir arkadaşıma hediye aldim.kendisine verdikten bir süre sonra ütüyü açıp kullanmaya başladı.kullanmaya başladığı ilk gün utuden kokular gelmeye başlamış.yeni ütü die düşünerek çok umursamamış.bir sonraki kullanimda ütü daha kötü bir şekilde koku çıkarmış.utuyu dün servise verdiler.arkadasima karşı mağlubiyetini düşünün kendisinden defalarca özür dilerim.ben hepsibuaradadn sürekli alış veriş yaparım.ama tedarikçinin çok güvenilir olduğunu düşünmüyorum.aslında mağduriyetimin giderilmesi gerektiğini düşünüyorum.umarim yorumum dikkate alınır.
;ürünü beğenmedim anlatildigi gibi değil di
;Ürün bana geldi ilk haftalarda sorunsuzdu ama sonradan kullanılamaz hale geldi Seagate tavsiye etmiyorum.
;harika bir ürün çok beğendim
;ürünü yigenime aldik şuan iyidiyor
;Olumlu yönleri: Genelde beklentilerimi karşıladı. Halı performansını bilmiyorum ama parkede minik bir canavar. Hafifliği benim için önemli.
;Ürün günlük kullanım için ideal. Akşam şipariş verdim sabahına teslim edildi bu hız için de ayrıca teşekkür ederim.
;Eşime aldım. Kazanlı ütü istiyordu. Herkesin beklentileri farklı olabilir ama bence 10 numara. Fiyatı da araştırdığım kadarıyla en iyisi. Diğer satış yerlerinde 1200-1500 civarında dolaşıyor.. Ben aldığımda 1099 du.
;ısınmıyor doğru düzgün bile en yüksek derece açtığım halde kendi kendine sönüyor saniyesinde bir tost bile yapılamıyor
;urun super cok memnun kaldim tesekkur ederim:)
;Olumlu yönleri: Güzel kullanışlı bir urun
;fiyatına göre iyi bi makina ama oldukça fazla sesli çalışıyor
;Bu ürünün aynısı gelmedi
;5 gün önce aldım telefonu. Gerçekten mükemmel bir dokunmatik telefon. Hoparlör ve kilit açma kolaylığı beni hayran bıraktırdı kendine. Almak isteyende tereddüt varsa hiç düşünmesin ekran çok kaliteli Herşeyiyle başarılı bir telefon kamerası özellikle etkileyici.
;Olumlu yönleri: Fiyat uygun.  Ürün de çok güzel. Kalite olarak piyasanın en pahalı markası ile aynı ayarda. Ama bu fiyata bu kalite gerçekten çok iyi.
;mukemmel bir ütüsün
;On numara Ürün başarılı tavsiye ederim
;Hic iyi degil bosa almayin motor sesi 15 yirmi metreden duyuluyor odada otururken cok rahatsiz edici  bosa para vermiyin
;Olumlu yönleri: Pratik . Cam hazneyle sağlıklı. 2 soğanı 3 4 saniyede kıydı. Başarılı
;Fotoğraftaki gibi degil. Çok küçük  berbat ve verdiğiniz paraya değmiyor.
;Ürün fazla ses çıkarmıyor ve en sert şeyleri bile parçalamada kolaylık sağlıyor
;Çok geç gönderdiler. Kargo bilgisi de  girmediler. Ürünün kutusu açılmış ve tekrar bantlanmıştı. Ürün normalde de güzel değil. Bence alınmaz.
;daha elime gecmedi
;Ütü göründüğü gibi kullandıkça anlayacağım kalitesini ama şuan iyi fiyatı uygun ??
;Bıçak ilk günden kötü oldu ! Nasıl ürün bu
;Başka bir mağazadan 99 lira kargo bedava aldım. Bu fiyata göre şık ve kullanışlı. Suyu çabuk kaynatıyor. Kırmızı/Siyah plastik kısımları inox gövde ile estetik bir görüntü oluşturuyor. İçindeki çelik süzgeci çayın tozunu bile bile bırakmıyor. Ama plastiği öyle çok kaliteli durmuyor. Eh bu fiyata bu kalite... ben memnunum.
;Olumlu yönleri: Çoktan beri takip ediyordum fiyatına göre gayet güzel işler çıkarmışlar xiaomi redmi note 8 pro yüksek fiyatlı bir çok markadan üstün bir telefon
;Ürün güzel kargo berbat yurt içi kargo
;Kahve plastik kokuyor
;Kargo oldukça hızlı geldi 6 aydır kullanıyorum memnunum
;başarıli buldum
;Çok memnun kaldım tavsiye ederim
;guzel urun begwndim
;çok memnun kaldım teşekkürler trendyol
;Hızlı ve sorunsuz teslim oldu. Çok kullanışlı. Buhar fişe taktığın gibi hazır neredeyse.
